N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD, LATITUD
07-2008-0220,HORTA-GUINARDÓ,el Baix Guinardó,TRAV,GRACIA,2,372,,,,,,,EN,2,2.17308199,41.41089197
02-2008-0798,L'EIXAMPLE,la Dreta de l'Eixample,PG,SANT JOAN,2,66,,,,,,,3,2,2.17359564,41.39669470
02-2008-1122,L'EIXAMPLE,el Fort Pienc,AV,DIAGONAL,1,243,,,,,,,BJ,2,2.18106527,41.40168755
02-2009-0164,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,1,373,,,,,,,4,2,2.17282715,41.39837373
02-2009-0165,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,1,373,,,,,,,5,1,2.17282715,41.39837373
02-2008-1220,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,317,,,,,,,PR,1,2.17055520,41.39317737
02-2008-1221,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,317,,,,,,,PR,2,2.17055520,41.39317737
07-2008-0284,HORTA-GUINARDÓ,el Baix Guinardó,TRAV,GRACIA,1,441,,,,,,,3,4,2.17327333,41.41129170
02-2009-0009,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,2,2,2.15003665,41.38019371
02-2009-0010,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,3,1,2.15003665,41.38019371
02-2009-0011,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,3,2,2.15003665,41.38019371
02-2009-0012,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,4,2,2.15003665,41.38019371
02-2009-0013,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,4,3,2.15003665,41.38019371
02-2009-0014,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,5,1,2.15003665,41.38019371
02-2009-0015,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,5,2,2.15003665,41.38019371
07-2008-0227,HORTA-GUINARDÓ,el Guinardó,PTGE,GIRA-SOL,1,5,,,,,,,3,4,2.17897334,41.41543531
02-2008-0741,L'EIXAMPLE,la Sagrada Família,C,PROVENÇA,1,419,,,,,,,1,1,2.17344609,41.40385464
07-2009-0027,HORTA-GUINARDÓ,el Baix Guinardó,C,MARINA,2,366,,,,,,,4,2,2.16965834,41.40828371
07-2009-0028,HORTA-GUINARDÓ,el Baix Guinardó,C,MARINA,2,366,,,,,,,4,1,2.16965834,41.40828371
07-2009-0029,HORTA-GUINARDÓ,el Baix Guinardó,C,MARINA,2,366,,,,,,,3,2,2.16965834,41.40828371
07-2008-0285,HORTA-GUINARDÓ,el Baix Guinardó,TRAV,GRACIA,1,441,,,,,,,4,3,2.17327333,41.41129170
02-2009-0104,L'EIXAMPLE,la Dreta de l'Eixample,PG,GRACIA,1,3,,,,,,,4,7,2.16927063,41.38821806
10-2008-0688,SANT MARTI,el Parc i la Llacuna del Poblenou,AV,MERIDIANA,2,2,,,,,,,BJ,3,2.18716654,41.39203034
02-2008-1223,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,317,,,,,,,1,1,2.17055520,41.39317737
02-2008-1224,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,317,,,,,,,1,2,2.17055520,41.39317737
02-2008-1225,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,317,,,,,,,2,1,2.17055520,41.39317737
